Compound_ID,SMILES
ZINC001805201306_1,Cn1c(cc(n1)C(=O)N2CC[C@H]([C@@H]2c3cccnc3)CNC(=O)c4ccccc4O)OC
ZINC001789067736_1,CCc1cc(nn1C)C(=O)NC[C@H]2[C@H]3CN(CC[C@H]3CO2)C(=O)c4cc(ccc4F)F
ZINC001780481659_1,C[C@@H](C(=O)N1CCO[C@@]2(C1)CCN(C2)C(=O)c3ccccc3F)NC(=O)c4ccccc4
ZINC001808102889_1,c1cc(cnc1)[C@H]2[C@@H](CCN2C(=O)[C@@H]3CCCCO3)CNC(=O)c4c5cccnc5n[nH]4
ZINC001475244412_1,CCOc1ccc(cc1)[C@@H]2C[C@H]2NS(=O)(=O)N3CCN(CC3)C(=O)OC(C)(C)C
ZINC001495476180_1,CC[C@H](C)c1nnc(n1C[C@]2(CCO[C@@H]2C)O)N3CCC(CC3)N4CCN(C4=O)CC
ZINC000477261858_1,C[C@H](c1c(cccc1Cl)F)NC(=O)c2ccc(cc2)S(=O)(=O)N3CCNC(=O)C3
ZINC000808699117_1,CCOC(=O)Nc1c(ncs1)C(=O)OCC(=O)Nc2ccc(cc2)N3CCOCC3
ZINC001800716169_1,CCCC(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)[C@]34CC[C@H]3CN(C4)C(=O)OC(C)(C)C
ZINC000792671725_2,CC(C)(C)OC(=O)N1CCC(CC1)c2nc(n(n2)C)NC(=O)c3ccc4n3nccc4
ZINC001640765363_1,CC1(CCN(CCS1=O)C(=O)[C@@H](CCSC)NC(=O)COc2ccccc2)C
ZINC000542140276_1,c1cc(c(cc1[C@H]2[C@@H](CCO2)C(=O)Nc3ccn(n3)CC(=O)N4CCOCC4)F)Cl
ZINC000113177847_1,c1cc(sc1)c2nc(cs2)CC(=O)N[C@@H](C#N)c3ccc(cc3)Cl
ZINC000410130553_1,Cc1cc(ccc1NC(=O)C2CCN(CC2)C(=O)N3CCCC3)O[C@H]4CCN(C4=O)C
ZINC001769478645_1,C[C@H]1CN(C[C@H](O1)COC)c2nnc(n2C[C@](C)(C3CCCCC3)O)C(=O)N4CCCC4
ZINC000442908792_1,Cn1ccnc1[C@@H](c2ccccc2F)NS(=O)(=O)c3ccc(cc3OC)C(=O)OC
ZINC000442125591_1,Cc1ccc(cc1)Oc2ccccc2NC(=O)C(=O)NC[C@@H]3CCC[C@@]34C(=O)NC(=O)N4
ZINC000671064346_1,CC[C@H](c1ccccc1OCC(=O)NC)NC(=O)C(=O)N2CCO[C@H](C2)C3CCCCC3
ZINC001218542539_1,CCOC(=O)[C@@H]1C[NH2+]C[C@H]1C(=O)Nc2c(cc(c(n2)C)Br)Br
ZINC001791538521_1,Cc1cc(no1)CC(=O)NC[C@H]2[C@H]3CN(CC[C@H]3CO2)C(=O)c4cc5cc(ccc5[nH]4)F
ZINC001801832411_1,c1c(cc(c(c1F)F)Cl)C(=O)N[C@@H]2[C@@H]3CN(C[C@H]2COC3)C(=O)CC4(CCC4)O
ZINC001791811411_1,c1cc(ccc1C(=O)C(=O)N2CC[C@H]3CO[C@H]([C@H]3C2)CNC(=O)CC[C@@H]4CCOC4)Cl
ZINC001626369236_1,Cc1cc(n(n1)c2cccc(c2)Br)NC(=O)c3nc4ncc(cn4n3)CCO
ZINC000550212207_1,Cc1cccc(c1OC[C@H](c2ccccc2)NC(=O)C(=O)NCc3nnc4n3CCC4)C
ZINC000478638929_1,Cc1ccc(cc1)CN2CC[C@H](C2=O)NC(=O)NCCCNC(=O)c3cccc(c3)F
ZINC000799256878_1,COc1cc(cc(c1OC)OC)N2CCN(CC2)C(=O)C(=O)Nc3cc(cnc3)F
ZINC000740293908_1,CC(C)(C)OC(=O)N[C@H]1CCC[C@H]1C(=O)OCC(=O)NC(=O)Nc2ccc3c(c2)OCO3
ZINC001790219189_1,c1cc(c(c(c1)F)C(=O)Nc2ccc(cc2)C3(CCC3)NC(=O)CN4CC(=O)NC4=O)F
ZINC001807870450_1,c1cc2cc(ccc2nc1)C(=O)N3CC[C@@H]([C@H]3c4cccnc4)CNC(=O)c5[nH]ncn5
ZINC000331418164_1,C[C@H]1C[C@H](CN1C(=O)c2cc3cc(ccc3s2)N(=O)=O)O
ZINC001790012145_1,Cc1c(cn2c1c(=O)[nH]cn2)C(=O)Nc3ccc(cc3)C4(CCC4)NC(=O)[C@@H](C)COC
ZINC001166811575_1,CCOC(=O)c1ccnc(c1C(=O)OCC)N2c3ccccc3C(=O)NC24CC[NH2+]CC4
ZINC001799202669_1,CN(C)C(=O)c1cccc(c1)C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c4cc(c[nH]4)COC
ZINC000776885652_1,CC(C)CS(=O)(=O)N1CCC(CC1)NC(=O)NCc2ccc(cc2)N3CCCC3=O
ZINC001259143544_1,CC(C)(C)OC(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2S(=O)(=O)c3ccc(cc3)S(=O)(=O)C
ZINC000610788575_1,CCOC(=O)C1CCN(CC1)C(=O)CN(C)C(=O)NC[C@@H](c2ccccc2Cl)OC
ZINC000513407999_1,c1cc(cc(c1)Cl)C(=O)N2CCC[C@H](C2)S(=O)(=O)NCCCNC(=O)C3CCC3
ZINC001748160849_1,Cc1cnn(c1)C[C@@H]2CN(CCO2)c3nnc(n3Cc4cccc(c4)C(=O)NC)C(C)C
ZINC000782711995_1,CC(C)(C)OC(=O)N[C@H](CNC(=O)N[C@@H](CO)C1CCOCC1)c2ccccc2OC
ZINC000432316021_1,Cc1ccc(cc1NCc2c(cccn2)C(F)(F)F)N(=O)=O
ZINC001792320369_1,C[C@H](C(=O)Nc1ccc(cc1)C2(CCC2)NC(=O)[C@H]3CCC(=O)N3)NC(=O)c4ccccc4
ZINC000472680775_1,CC(=O)N1CC[C@@H](c2c1cccc2)NC(=O)C(=O)Nc3cc(cc(c3)OC)n4cccn4
ZINC000544684298_1,COCCn1cc2c(n1)[C@H](CCC2)NC(=O)NC[C@@H]3CC(=O)N(C3)Cc4ccccc4
